 Time: 1429.49951, num_raw: 24000, num_filted: 24000
 Time: 1429.59948, num_raw: 24000, num_filted: 24000
 Time: 1429.69941, num_raw: 24000, num_filted: 24000
 Time: 1429.79968, num_raw: 24000, num_filted: 24000
 Time: 1429.89952, num_raw: 24000, num_filted: 24000
 Time: 1429.99940, num_raw: 24000, num_filted: 24000
 Time: 1430.09933, num_raw: 24000, num_filted: 24000
 Time: 1430.19963, num_raw: 24000, num_filted: 24000
 Time: 1430.29962, num_raw: 24000, num_filted: 24000
 Time: 1430.39956, num_raw: 24000, num_filted: 24000
 Time: 1430.49945, num_raw: 24000, num_filted: 24000
 Time: 1430.59932, num_raw: 24000, num_filted: 24000
 Time: 1430.69997, num_raw: 24000, num_filted: 24000
 Time: 1430.79986, num_raw: 24000, num_filted: 24000
 Time: 1430.89980, num_raw: 24000, num_filted: 24000
 Time: 1430.99974, num_raw: 24000, num_filted: 24000
 Time: 1431.09962, num_raw: 24000, num_filted: 24000
 Time: 1431.19946, num_raw: 24000, num_filted: 24000
 Time: 1431.29936, num_raw: 24000, num_filted: 24000
 Time: 1431.39999, num_raw: 24000, num_filted: 24000
 Time: 1431.49994, num_raw: 24000, num_filted: 24000
 Time: 1431.59981, num_raw: 24000, num_filted: 24000
 Time: 1431.69976, num_raw: 24000, num_filted: 24000
 Time: 1431.79966, num_raw: 24000, num_filted: 24000
 Time: 1431.89951, num_raw: 24000, num_filted: 24000
 Time: 1431.99947, num_raw: 24000, num_filted: 24000
 Time: 1432.09935, num_raw: 24000, num_filted: 24000
 Time: 1432.19999, num_raw: 24000, num_filted: 24000
 Time: 1432.29986, num_raw: 24000, num_filted: 24000
 Time: 1432.39973, num_raw: 24000, num_filted: 24000
 Time: 1432.49959, num_raw: 24000, num_filted: 24000
 Time: 1432.59944, num_raw: 24000, num_filted: 24000
 Time: 1432.69935, num_raw: 24000, num_filted: 24000
 Time: 1432.79930, num_raw: 24000, num_filted: 24000
 Time: 1432.89963, num_raw: 24000, num_filted: 24000
 Time: 1432.99960, num_raw: 24000, num_filted: 24000
 Time: 1433.09947, num_raw: 24000, num_filted: 24000
 Time: 1433.19940, num_raw: 24000, num_filted: 24000
 Time: 1433.29928, num_raw: 24000, num_filted: 24000
 Time: 1433.39965, num_raw: 24000, num_filted: 24000
 Time: 1433.49964, num_raw: 24000, num_filted: 24000
 Time: 1433.59965, num_raw: 24000, num_filted: 24000
 Time: 1433.69959, num_raw: 24000, num_filted: 24000
 Time: 1433.79950, num_raw: 24000, num_filted: 24000
 Time: 1433.89950, num_raw: 24000, num_filted: 24000
 Time: 1433.99948, num_raw: 24000, num_filted: 24000
 Time: 1434.09945, num_raw: 24000, num_filted: 24000
 Time: 1434.19947, num_raw: 24000, num_filted: 24000
 Time: 1434.29932, num_raw: 24000, num_filted: 24000
 Time: 1434.39929, num_raw: 24000, num_filted: 24000
 Time: 1434.49961, num_raw: 24000, num_filted: 24000
 Time: 1434.59963, num_raw: 24000, num_filted: 24000
 Time: 1434.69963, num_raw: 24000, num_filted: 24000
 Time: 1434.79962, num_raw: 24000, num_filted: 24000
 Time: 1434.89954, num_raw: 24000, num_filted: 24000
 Time: 1434.99945, num_raw: 24000, num_filted: 24000
 Time: 1435.09947, num_raw: 24000, num_filted: 24000
 Time: 1435.19937, num_raw: 24000, num_filted: 24000
 Time: 1435.29933, num_raw: 24000, num_filted: 24000
 Time: 1435.39999, num_raw: 24000, num_filted: 24000
 Time: 1435.49994, num_raw: 24000, num_filted: 24000
 Time: 1435.59984, num_raw: 24000, num_filted: 24000
 Time: 1435.69976, num_raw: 24000, num_filted: 24000
 Time: 1435.79976, num_raw: 24000, num_filted: 24000
 Time: 1435.89965, num_raw: 24000, num_filted: 24000
 Time: 1435.99961, num_raw: 24000, num_filted: 24000
 Time: 1436.09962, num_raw: 24000, num_filted: 24000
 Time: 1436.19961, num_raw: 24000, num_filted: 24000
 Time: 1436.29951, num_raw: 24000, num_filted: 24000
 Time: 1436.39938, num_raw: 24000, num_filted: 24000
 Time: 1436.49960, num_raw: 24000, num_filted: 24000
 Time: 1436.59954, num_raw: 24000, num_filted: 24000
 Time: 1436.69950, num_raw: 24000, num_filted: 24000
